code,country,year,subject,level,sourcetest,n_res,hlo,hlo_se,hlo_m,hlo_m_se,hlo_f,hlo_f_se,region,incomegroup
AUS,Australia,2003,math,pri,TIMSS,1,498.66327,3.8819575,500.258,4.2701998,496.97891,4.4684243,East Asia & Pacific,High income
AUS,Australia,2003,math,sec,TIMSS,1,504.70267,4.6378474,511.09933,5.7914848,498.58759,5.7859578,East Asia & Pacific,High income
AUS,Australia,2003,reading,sec,PISA,1,525.427,2.1264365,506.08569,2.8352866,545.42511,2.5534959,East Asia & Pacific,High income
AUS,Australia,2003,science,pri,TIMSS,1,520.69104,4.2063112,518.89966,5.5076127,522.40594,3.7882359,East Asia & Pacific,High income
AUS,Australia,2003,science,sec,TIMSS,1,527.01422,3.8001652,537.4577,4.6460619,517.03052,4.6360817,East Asia & Pacific,High income
AUS,Australia,2006,math,sec,PISA,1,538.039,2.8053567,544.55115,2.6950257,531.22308,2.9151108,East Asia & Pacific,High income
AUS,Australia,2006,reading,sec,PISA,1,512.89331,2.0620325,494.87286,3.0474141,531.75439,2.1821852,East Asia & Pacific,High income
AUS,Australia,2006,science,sec,PISA,1,543.24622,2.2797761,543.26654,2.2732277,543.22504,2.2624614,East Asia & Pacific,High income
AUS,Australia,2007,math,pri,TIMSS,1,516.0625,3.5090227,519.04114,3.5717576,513.17621,4.1831985,East Asia & Pacific,High income
AUS,Australia,2007,math,sec,TIMSS,1,496.2316,3.9335732,503.64133,5.4206347,488.26346,5.5306239,East Asia & Pacific,High income
AUS,Australia,2007,science,pri,TIMSS,1,527.39667,3.340533,529.7298,3.5424118,525.13586,3.9673572,East Asia & Pacific,High income
AUS,Australia,2007,science,sec,TIMSS,1,514.78821,3.6483788,523.61536,5.4339128,505.29587,5.0934162,East Asia & Pacific,High income
AUS,Australia,2009,math,sec,PISA,1,532.89392,3.0260811,537.58618,3.0443015,528.40271,3.1667378,East Asia & Pacific,High income
AUS,Australia,2009,reading,sec,PISA,1,514.90063,2.3374214,496.14398,2.8788066,532.8537,2.6422174,East Asia & Pacific,High income
AUS,Australia,2009,science,sec,PISA,1,543.58478,2.5402772,543.17639,2.4810312,543.97559,2.5045631,East Asia & Pacific,High income
AUS,Australia,2011,math,pri,TIMSS,1,515.9317,2.8599036,518.90979,3.5859323,512.87903,3.2531517,East Asia & Pacific,High income
AUS,Australia,2011,math,sec,TIMSS,1,504.80243,5.0896778,509.16187,7.2633629,500.41263,4.7239032,East Asia & Pacific,High income
AUS,Australia,2011,reading,pri,PIRLS,1,527.37195,2.2065582,519.2019,2.7268877,535.78583,2.6713002,East Asia & Pacific,High income
AUS,Australia,2011,science,pri,TIMSS,1,515.59332,2.8261001,515.58655,3.709605,515.60022,3.1017609,East Asia & Pacific,High income
AUS,Australia,2011,science,sec,TIMSS,1,519.26544,4.8016758,527.30487,6.5125051,511.17014,4.4760265,East Asia & Pacific,High income
AUS,Australia,2012,math,sec,PISA,1,523.47705,2.4170539,528.98883,2.4914744,517.62769,2.5356433,East Asia & Pacific,High income
AUS,Australia,2012,reading,sec,PISA,1,511.80399,1.5767989,495.08957,2.2931392,529.5423,1.9674035,East Asia & Pacific,High income
AUS,Australia,2012,science,sec,PISA,1,538.58313,1.8534149,540.51721,1.8523424,536.53052,1.7898881,East Asia & Pacific,High income
AUS,Australia,2015,math,pri,TIMSS,1,517.22662,3.1554036,521.59998,3.9526274,512.60181,3.199748,East Asia & Pacific,High income
AUS,Australia,2015,math,sec,TIMSS,1,504.95816,3.0452993,505.98294,3.5088129,504.0079,3.732084,East Asia & Pacific,High income
AUS,Australia,2015,reading,sec,PISA,1,502.90057,1.690892,487.18552,2.2759125,518.86578,2.3111122,East Asia & Pacific,High income
AUS,Australia,2015,science,pri,TIMSS,1,523.62836,2.870393,523.2923,3.373862,523.98376,3.2421114,East Asia & Pacific,High income
AUS,Australia,2015,science,sec,TIMSS,1,511.98651,2.6285994,514.60974,2.8804021,509.509,3.2849498,East Asia & Pacific,High income
AUS,Australia,2016,reading,pri,PIRLS,1,544.36011,2.5588396,533.55823,2.9316628,555.10492,2.6329021,East Asia & Pacific,High income
AUT,Austria,2000,math,sec,PISA,1,533.4798,2.9867787,547.43085,3.0677588,522.43402,3.0058143,Europe & Central Asia,High income
AUT,Austria,2000,reading,sec,PISA,1,507.12665,2.39976,494.6459,3.2301376,520.2735,3.5892653,Europe & Central Asia,High income
AUT,Austria,2000,science,sec,PISA,1,536.11224,2.4411564,542.23462,2.5360048,532.03662,2.5493085,Europe & Central Asia,High income
AUT,Austria,2003,math,sec,PISA,1,524.82654,3.6090519,528.31903,3.6142671,521.31946,3.5895298,Europe & Central Asia,High income
AUT,Austria,2003,reading,sec,PISA,1,490.69324,3.7583528,467.13177,4.5406795,514.35333,4.2137146,Europe & Central Asia,High income
AUT,Austria,2003,science,sec,PISA,1,512.16229,3.145637,511.02176,3.151628,513.30768,3.2701778,Europe & Central Asia,High income
AUT,Austria,2006,math,sec,PISA,1,524.7088,3.9838846,534.9646,3.8121383,514.06122,4.0801697,Europe & Central Asia,High income
AUT,Austria,2006,reading,pri,PIRLS,1,538.29614,2.1995714,533.43793,2.6381459,543.2608,2.3229632,Europe & Central Asia,High income
AUT,Austria,2006,reading,sec,PISA,1,490.19397,4.0800056,468.31168,4.8747654,512.91223,5.5159721,Europe & Central Asia,High income
AUT,Austria,2006,science,sec,PISA,1,529.354,3.6969874,532.55322,3.7066822,526.03253,3.5569642,Europe & Central Asia,High income
AUT,Austria,2007,math,pri,TIMSS,1,505.38864,2.0045602,511.9866,2.2594638,498.29617,2.4639554,Europe & Central Asia,High income
AUT,Austria,2007,science,pri,TIMSS,1,525.62677,2.519474,531.98065,2.9326439,518.79663,2.7061489,Europe & Central Asia,High income
AUT,Austria,2009,math,sec,PISA,1,515.86005,3.0909007,524.89319,3.1658998,507.16443,3.1430526,Europe & Central Asia,High income
AUT,Austria,2009,reading,sec,PISA,1,470.28363,2.9480815,449.29584,3.76123,490.48734,3.9514344,Europe & Central Asia,High income
AUT,Austria,2009,science,sec,PISA,1,515.05731,3.1354399,518.5318,2.9983375,511.71265,2.9896233,Europe & Central Asia,High income
AUT,Austria,2011,math,pri,TIMSS,1,508.31091,2.6401179,512.86975,3.3449717,503.52451,2.6606863,Europe & Central Asia,High income
AUT,Austria,2011,reading,pri,PIRLS,1,528.87561,1.9531063,525.18683,2.3248968,532.76276,2.1792572,Europe & Central Asia,High income
AUT,Austria,2011,science,pri,TIMSS,1,531.50214,2.8474438,537.56537,3.638937,525.13629,2.7932918,Europe & Central Asia,High income
AUT,Austria,2012,math,sec,PISA,1,524.7616,3.1911333,535.05774,3.0727494,514.52338,3.170156,Europe & Central Asia,High income
AUT,Austria,2012,reading,sec,PISA,1,489.60934,2.7611911,471.09314,4.0010548,508.02148,3.3612473,Europe & Central Asia,High income
AUT,Austria,2012,science,sec,PISA,1,524.97571,2.5443201,528.72284,2.639286,521.24969,2.6442881,Europe & Central Asia,High income
AUT,Austria,2015,math,sec,PISA,1,516.63049,3.2954867,528.97345,3.2307212,504.05338,3.1345685,Europe & Central Asia,High income
AUT,Austria,2015,reading,sec,PISA,1,484.8656,2.8352776,474.84604,4.2868061,495.0752,3.6557555,Europe & Central Asia,High income
AUT,Austria,2015,science,sec,PISA,1,515.672,2.3576202,523.75464,2.4443998,507.436,2.4266343,Europe & Central Asia,High income
AUT,Austria,2016,reading,pri,PIRLS,1,540.79614,2.3630989,537.92767,2.6240933,543.84753,2.7401171,Europe & Central Asia,High income
AZE,Azerbaijan,2006,math,sec,PISA,1,497.45691,2.8049579,496.94489,2.8773451,498.01373,2.8542213,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2006,reading,sec,PISA,1,352.89185,3.1243231,343.47623,3.4829342,363.13052,3.3035886,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2006,science,sec,PISA,1,418.07431,2.6466916,414.93884,2.6266375,421.48386,2.5512457,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2009,math,sec,PISA,1,455.85147,3.3871188,459.56201,3.2836483,451.96301,3.2443132,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2009,reading,sec,PISA,1,361.51532,3.3291571,349.98898,3.7420068,373.5943,3.3451936,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2009,science,sec,PISA,1,410.15039,2.8817279,407.11975,3.0096092,413.32635,2.9322777,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2011,math,pri,TIMSS,1,462.7507,5.7983212,459.64755,5.8616714,466.21838,6.3787742,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2011,reading,pri,PIRLS,1,462.30374,3.3340971,455.82318,3.471288,469.56927,3.5637915,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2011,science,pri,TIMSS,1,438.06628,5.6484256,434.29919,5.728344,442.27591,6.2665577,Europe & Central Asia,Upper middle income
AZE,Azerbaijan,2016,reading,pri,PIRLS,1,472.27689,3.8789663,466.06085,4.0739942,479.30093,4.1700978,Europe & Central Asia,Upper middle income
BDI,Burundi,2006,reading,pri,PASEC,1,358.15155,8.6074514,359.14905,8.7315645,357.07889,8.5037231,Sub-Saharan Africa,Low income
BDI,Burundi,2011,reading,pri,EGRA,1,332.17233,3.5768023,331.46213,3.7419717,331.59045,3.7982814,Sub-Saharan Africa,Low income
BDI,Burundi,2012,reading,pri,EGRA,1,343.20334,3.6666377,356.72754,3.5435936,333.88593,3.6605811,Sub-Saharan Africa,Low income
BDI,Burundi,2014,reading,pri,PASEC,1,525.40875,9.0113316,520.14404,9.2220469,531.79749,8.781579,Sub-Saharan Africa,Low income
BEL,Belgium,2000,math,sec,PISA,1,537.75793,4.0208054,541.55927,4.099638,535.81958,4.0061679,Europe & Central Asia,High income
BEL,Belgium,2000,reading,sec,PISA,1,507.12589,3.5578482,492.39474,4.2409773,525.2085,4.9223437,Europe & Central Asia,High income
BEL,Belgium,2000,science,sec,PISA,1,516.276,3.9577096,516.40234,3.9921513,518.25183,4.031239,Europe & Central Asia,High income
BEL,Belgium,2003,math,sec,PISA,1,546.70636,2.7523293,550.02881,2.8386714,543.08716,2.8767486,Europe & Central Asia,High income
BEL,Belgium,2003,reading,sec,PISA,1,506.98734,2.5817494,489.32657,3.7607651,526.22571,3.3027887,Europe & Central Asia,High income
BEL,Belgium,2003,science,sec,PISA,1,527.61499,2.3819587,527.58679,2.3371689,527.64569,2.4225943,Europe & Central Asia,High income
BEL,Belgium,2006,math,sec,PISA,1,538.44678,3.3212788,541.50244,3.4059877,535.07996,3.3383925,Europe & Central Asia,High income
BEL,Belgium,2006,reading,sec,PISA,1,500.9006,3.041255,481.99719,4.0820203,521.72833,3.4614282,Europe & Central Asia,High income
BEL,Belgium,2006,science,sec,PISA,1,528.94379,2.3857343,529.25226,2.4760649,528.60394,2.3818102,Europe & Central Asia,High income
BEL,Belgium,2009,math,sec,PISA,1,533.75507,2.8033335,543.59155,2.8466311,523.48273,2.7249587,Europe & Central Asia,High income
BEL,Belgium,2009,reading,sec,PISA,1,505.9458,2.3497605,492.67365,3.381577,519.80609,2.935431,Europe & Central Asia,High income
BEL,Belgium,2009,science,sec,PISA,1,525.66357,2.5305624,528.39209,2.4785111,522.81415,2.4373012,Europe & Central Asia,High income
BEL,Belgium,2012,math,sec,PISA,1,533.06842,2.747453,538.19934,2.7853436,527.89807,2.7337244,Europe & Central Asia,High income
BEL,Belgium,2012,reading,sec,PISA,1,508.61789,2.2540627,492.75522,3.0383029,524.60242,2.7083251,Europe & Central Asia,High income
BEL,Belgium,2012,science,sec,PISA,1,524.18457,2.1953363,525.87561,2.0960612,522.48059,2.2783892,Europe & Central Asia,High income
BEL,Belgium,2015,math,sec,PISA,1,526.09576,2.8703158,532.58167,2.9407537,519.3999,2.8408864,Europe & Central Asia,High income
BEL,Belgium,2015,reading,sec,PISA,1,498.5242,2.4157057,490.66415,3.1483748,506.63861,2.8968606,Europe & Central Asia,High income
BEL,Belgium,2015,science,sec,PISA,1,521.70105,2.3522537,526.70703,2.2040646,516.53308,2.2748096,Europe & Central Asia,High income
BEN,Benin,2006,reading,pri,PASEC,1,313.0061,9.1139593,315.95639,9.1421614,308.52917,9.2777662,Sub-Saharan Africa,Low income
BEN,Benin,2014,reading,pri,PASEC,1,523.43524,9.3800125,527.12036,9.4280653,520.12878,9.281415,Sub-Saharan Africa,Low income
BFA,Burkina Faso,2006,reading,pri,PASEC,1,339.52481,8.5967712,346.48346,8.6179266,335.58789,8.6885386,Sub-Saharan Africa,Low income
BFA,Burkina Faso,2014,reading,pri,PASEC,1,531.64642,9.6482248,533.71979,9.4748373,529.64856,9.4432583,Sub-Saharan Africa,Low income
BGD,Bangladesh,2014,reading,pri,EGRA,0,292.91858,3.308656,292.31433,3.2904882,293.52399,3.2096021,South Asia,Lower middle income
BGD,Bangladesh,2015,reading,pri,EGRA,0,332.78152,3.6532478,328.12479,3.4032652,337.24615,3.5174677,South Asia,Lower middle income
BGD,Bangladesh,2016,reading,pri,EGRA,0,356.60156,3.4281366,354.27603,3.388128,358.7623,3.5367105,South Asia,Lower middle income
BGR,Bulgaria,2000,math,sec,PISA,1,454.6011,5.6137018,452.87985,5.5107932,456.43433,5.7456174,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2000,reading,sec,PISA,1,430.40344,4.8869472,407.47992,4.8689284,454.70728,6.3167691,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2000,science,sec,PISA,1,475.18555,4.3622046,472.89249,4.2852488,477.54669,4.034605,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2001,reading,pri,PIRLS,1,550.49768,3.8466938,538.0589,4.671721,562.29083,3.685813,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2003,math,sec,TIMSS,1,476.16861,4.3153949,476.65585,4.3333216,475.64551,5.4752283,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2003,science,sec,TIMSS,1,478.84314,5.1512418,486.69879,5.2018018,470.40945,6.2979703,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2006,math,sec,PISA,1,439.65457,5.9889789,437.99707,5.6951098,441.43427,6.0489535,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2006,reading,pri,PIRLS,1,547.03192,4.3659978,536.77692,4.9957857,557.52032,4.4104095,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2006,reading,sec,PISA,1,401.93497,6.9082928,373.83542,7.6518388,432.10605,6.8680735,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2006,science,sec,PISA,1,462.88455,5.6680894,455.77896,5.7546606,470.51398,5.6964016,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2007,math,sec,TIMSS,1,463.62985,4.9650798,456.34421,6.3132143,470.91281,4.620441,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2007,science,sec,TIMSS,1,470.28397,5.8920112,464.44223,6.8398352,476.79941,6.2221622,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2009,math,sec,PISA,1,453.16293,5.6030703,451.49219,5.8017507,454.96277,5.6893735,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2009,reading,sec,PISA,1,429.08109,6.6812568,399.64896,7.3016677,460.78671,5.7622304,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2009,science,sec,PISA,1,467.40005,5.3050518,459.11597,5.3522024,476.32401,5.3124666,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2011,reading,pri,PIRLS,1,531.83148,4.0531516,524.45239,4.3308992,539.4104,4.4610205,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2012,math,sec,PISA,1,463.02563,4.2016368,461.92865,4.2058182,464.20337,4.2237206,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2012,reading,sec,PISA,1,436.12573,6.0225821,402.54745,6.3456798,472.17465,5.6496034,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2012,science,sec,PISA,1,473.61298,4.4322286,465.16965,4.2227902,482.67755,4.4612098,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2015,math,pri,TIMSS,1,524.284,5.3320203,521.85468,5.203547,526.80621,5.8283362,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2015,math,sec,PISA,1,465.29138,4.183867,464.48645,4.0757427,466.19077,4.1609163,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2015,reading,sec,PISA,1,431.71753,4.9977078,409.44977,5.8039393,456.59857,5.0403199,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2015,science,pri,TIMSS,1,535.70441,5.7988276,531.57269,5.8187752,539.9942,6.1320052,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2015,science,sec,PISA,1,473.00961,3.9389486,466.70941,3.9966388,480.04919,4.0015359,Europe & Central Asia,Upper middle income
BGR,Bulgaria,2016,reading,pri,PIRLS,1,551.53912,4.2329688,543.82092,4.3053622,559.41833,4.7671781,Europe & Central Asia,Upper middle income
BHR,Bahrain,2003,math,sec,TIMSS,1,401.1962,1.7270169,384.78845,2.4173815,417.32471,2.3735726,Middle East & North Africa,High income
BHR,Bahrain,2003,science,sec,TIMSS,1,438.25546,1.7929916,423.4462,2.2738912,452.81268,2.6585269,Middle East & North Africa,High income
BHR,Bahrain,2007,math,sec,TIMSS,1,398.07141,1.567323,382.48749,2.6207392,414.34842,2.1645136,Middle East & North Africa,High income
BHR,Bahrain,2007,science,sec,TIMSS,1,467.4476,1.717872,437.24356,2.6482208,498.99496,1.8707176,Middle East & North Africa,High income
BHR,Bahrain,2011,math,pri,TIMSS,1,436.0368,3.2628942,432.2554,4.0403705,439.75284,4.5424871,Middle East & North Africa,High income
BHR,Bahrain,2011,math,sec,TIMSS,1,409.21683,1.9637231,387.89417,3.0749688,430.78348,2.5118167,Middle East & North Africa,High income
BHR,Bahrain,2011,science,pri,TIMSS,1,449.41559,3.4517226,437.9501,4.5573983,460.68277,5.5192342,Middle East & North Africa,High income
BHR,Bahrain,2011,science,sec,TIMSS,1,452.4249,1.9793924,423.03665,3.6027131,482.14935,2.1570332,Middle East & North Africa,High income
BHR,Bahrain,2015,math,pri,TIMSS,1,451.03278,1.5531222,443.35211,2.3011415,458.68637,1.6027114,Middle East & North Africa,High income
BHR,Bahrain,2015,math,sec,TIMSS,1,453.95255,1.4626583,446.46735,2.207732,461.99872,2.4291964,Middle East & North Africa,High income
